scorer,,,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew
bodyparts,,,Left_Ear,Left_Ear,Right_Ear,Right_Ear,Body_Center,Body_Center,Left_Body,Left_Body,Right_Body,Right_Body,Tail_Base,Tail_Base,Nose,Nose
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,P20221101_Video,frame_00000.png,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531305,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035753,144.3911500138412,,
labeled-data,P20221101_Video,frame_00001.png,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531305,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035753,144.3911500138412,,
labeled-data,P20221101_Video,frame_00002.png,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531305,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035753,144.3911500138412,,
labeled-data,P20221101_Video,frame_00003.png,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531305,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035753,144.3911500138412,,
labeled-data,P20221101_Video,frame_00004.png,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531305,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035753,144.3911500138412,,
labeled-data,P20221101_Video,frame_00005.png,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531305,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035753,144.3911500138412,,
labeled-data,P20221101_Video,frame_00006.png,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531305,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035753,144.3911500138412,,
labeled-data,P20221101_Video,frame_00007.png,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531305,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035753,144.3911500138412,,
