scorer,,,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300,DLC_Resnet50_Capstone-project-DLCMar8shuffle1_snapshot_300
bodyparts,,,Nose,Nose,Nose,Left_Ear,Left_Ear,Left_Ear,Right_Ear,Right_Ear,Right_Ear,Body_Center,Body_Center,Body_Center,Left_Body,Left_Body,Left_Body,Right_Body,Right_Body,Right_Body,Tail_Base,Tail_Base,Tail_Base
coords,,,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
labeled-data,P20221101_Video,img0069.png,116.54766,148.97856,0.21188138,117.56634,159.31648,0.15656014,122.52567,154.50128,0.275501,122.71099,162.02777,0.048490167,217.0513,13.704688,0.032678634,125.04419,164.87584,0.065216385,118.842,145.07568,0.10727976
labeled-data,P20221101_Video,img0070.png,116.91605,148.75778,0.19345887,117.62721,159.51935,0.13426164,122.499306,154.43117,0.24319819,207.001,24.490234,0.03378563,217.60454,13.483808,0.070368394,127.52951,162.01166,0.0418361,119.02643,145.14185,0.08130269
labeled-data,P20221101_Video,img0071.png,116.841934,148.8062,0.19831301,117.626335,159.51596,0.1397373,122.54977,154.52643,0.24585082,115.60077,159.75609,0.036753483,119.4987,157.09366,0.026861839,127.65634,162.04683,0.040562004,119.098335,145.07169,0.0925702
labeled-data,P20221101_Video,img0082.png,118.692604,172.25601,0.2532023,117.83808,161.01668,0.26686478,115.21681,164.2277,0.30152813,115.098305,154.59491,0.10266482,118.52837,153.98225,0.057525154,124.24089,163.75467,0.05661578,118.38789,144.79573,0.21490699
labeled-data,P20221101_Video,img0095.png,117.7496,150.59564,0.29376808,119.34073,165.29388,0.28234288,122.08151,156.79248,0.33558345,114.65565,155.796,0.1077226,117.289024,154.90692,0.0702357,124.4563,164.02696,0.0960271,118.17619,144.72101,0.2056379
labeled-data,P20221101_Video,img0114.png,117.98655,171.90425,0.2843087,117.83482,161.11433,0.31700492,115.05863,163.92998,0.32275283,115.157555,154.48291,0.11649112,120.11168,159.6898,0.072963655,126.017685,160.28748,0.07285882,117.9166,144.80232,0.23931703
labeled-data,P20221101_Video,img0143.png,118.8807,152.89194,0.17184667,122.250244,163.39175,0.29733393,123.36202,163.27818,0.29379854,121.80657,162.44713,0.15345967,122.46761,157.85127,0.12523772,122.74748,163.06206,0.10493963,117.50005,150.54883,0.22911045
labeled-data,P20221101_Video,img0147.png,129.10294,174.7012,0.20252402,123.75384,164.79547,0.3855002,124.895615,167.48401,0.38593617,122.19973,162.5993,0.21318436,125.08129,161.3826,0.1836426,115.242386,159.42758,0.18235847,117.64034,150.52094,0.29529414
