scorer,Unnamed: 1_level_0,Unnamed: 2_level_0,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew,Andrew
bodyparts,Unnamed: 1_level_1,Unnamed: 2_level_1,Nose,Nose,Left_Ear,Left_Ear,Right_Ear,Right_Ear,Body_Center,Body_Center,Left_Body,Left_Body,Right_Body,Right_Body,Tail_Base,Tail_Base
coords,Unnamed: 1_level_2,Unnamed: 2_level_2,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,P20221101_Video,frame_00000.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00001.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00002.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00003.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00004.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00005.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00006.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00007.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00008.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00009.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00010.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00011.png,122.71547665474368,177.18092262926834,122.59752783238602,169.86809564309394,116.5821378921458,171.75527680081632,117.17188200393404,159.9603945650512,122.24368136531304,159.4885992756206,111.39238970840913,160.1962922097665,115.99239378035752,144.3911500138412
labeled-data,P20221101_Video,frame_00012.png,121.62163729700474,176.5833086428379,122.57310320587852,170.18219457617198,115.81290081693568,171.34679162136348,117.65827160060944,160.31486562096435,122.55753460105632,160.97177058936674,111.00683279845452,160.597411631853,114.9612276004376,144.42494724472525
labeled-data,P20221101_Video,frame_00013.png,121.4664145485207,176.5056972685959,122.57310320587852,169.79948486663432,115.81290081693568,171.15543676659468,117.91009800524594,159.8741694128505,123.03592173797836,160.30202859767587,111.10251022583893,159.92766964016215,114.9612276004376,144.42494724472525
